Person,Sentence
Person1,"Good morning, <UNK>.
"
Person2,"You got it.
"
Person2,"It's mix.
"
Person2,"It's narrow body mix within the quarter.
"
Person2,"That's really the biggest driver there, <UNK>.
"
Person2,"Yes, a little bit less than that on the 87.
"
Person2,"Yes.
"
Person2,"There was not a big difference.
"
Person2,"I would say relatively flat.
"
Person2,"When you look at the margin for the quarter, it's what you said.
"
Person2,"There's some mix in the quarter, a little bit on escalation, then higher R&D, as we said, as we're ramping up the 777X.
"
Person2,"So as I look at the next three quarters ahead, we'll have more favorable mix in there and the R&D profile will be a little bit different.
"
Person2,"So, that's how we see the path to the guidance for the balance of the year.
"
Person2,"Correct.
"
Person2,"you bet.
"
Person2,"On the overall book-to-bill, once again this year we're anticipating a book-to-bill of about 1, so similar to last year.
"
Person2,"As you know, timing of orders is a little hard to predict, but, generally, when we look at order volume and energy in the marketplace we'd say book-to-bill of about one and continuing healthy opportunities around the globe.
"
Person2,"Most of that, again, driven by passenger growth and replacement demand from our customers, lesser of that driven by cargo; as I mentioned earlier, the cargo market remains flattish.
"
Person2,"The prominent demand there is in the narrow-body arena, so 737 sales opportunities for the MAX remain very robust globally.
"
Person2,"Wide-body demand, not as hot as narrow-body demand, but still strong, especially in areas where it's driven by passenger growth, Middle East and Asia Pacific, in particular.
"
Person2,"We're seeing that in continuing solid orders volume for 787 and for the 777.
"
Person2,"And as I said, on 777, that current generation, we're targeting 40 to 50 sales a year to fill the bridge.
"
Person2,"We still have work to go, but we've successfully sold 11 so far this year, so roughly on track, but we still have some work to do to fill the remainder of the bridge.
"
Person2,"We have about a dozen or so very significant campaigns underway for the 777, so while we have work to do, we also see the opportunity to complete the filling of that bridge.
"
Person2,"On the other side of the bridge, the 777X remains in a very strong market-differentiated place.
"
Person2,"And if we looked out to the future on wide bodies between 787 and 777X, in particular, we feel very strong about the product lineup that we have.
"
Person2,"So overall, a healthy, steady market demand, book-to-bill of about 1 this year, heavier weighted to the narrow-body side, but seeing reasonable demand in both narrow bodies and wide bodies.
"
Person1,"Good morning, <UNK>.
"
Person1,"You bet.
"
Person1,"Hey, <UNK>, good questions.
"
Person1,"And, first of all, on your overall margin question, <UNK>, I'll look back to you on the back end to comment on that.
"
Person1,"But you saw in the first quarter that we did take the $0.24 charge on Tanker.
"
Person1,"We were able to offset the majority of that which is good solid performance and <UNK> can walk you through some of the offsets there, but one of the reasons that we've reaffirmed our year-end guidance is that the first-quarter performance that we've seen broadly across the enterprise, some of the work we're doing to drive productivity, that I talked about earlier, and our plans for the rest of the year give us confidence that we will overcome that $0.24 charge and that's one of the reasons we're holding our year-end guidance.
"
Person1,"I'll let <UNK> comment more on that later.
"
Person1,"But specifically to Tanker, you're right, a lot of focus on that, and I can tell you that we have raised the level of enterprise focus on executing and delivering on that program.
"
Person1,"We've, as you've seen, made some personnel changes to provide some additional oversight and emphasis on the program.
"
Person1,"Leanne, as she has stepped into her new role is playing a strong role there along with <UNK> Fancher in teaming up with Ray and the team on the commercial airplane side, so we've got the right people on the program.
"
Person1,"A few milestones ahead of us is completing milestone C, testing, the production approval decision.
"
Person1,"We are about 80% complete on the flight testing that's required for milestone C and we are moving towards completion of that milestone and approval around the end of the second quarter.
"
Person1,"Again, that's subject to the normal US government process.
"
Person1,"The next major milestone beyond that will be delivery of the first 18 tankers and we remain on schedule to do that August of 2017.
"
Person1,"And you're right, we have invested some money to hold that schedule.
"
Person1,"We think it's the right thing to do.
"
Person1,"It delivers on our customer commitments; it delivers on an important program; and we're committed to hitting that schedule; and it allows us to accelerate our movement into the production program.
"
Person1,"Ultimately we still see this, in the long run, as a franchise program, a market of around 400 aircraft and one that will produce profitable growth for decades to come, both in terms of production and support to our customers.
"
Person1,"So without question, this is an investment worth making.
"
Person1,"While we don't like taking a charge, we're confident that we're doing the right things here.
"
Person1,"We've got the right people on it.
"
Person1,"We are now in the final stages of the development program.
"
Person1,"And to your point about putting a nail in it, we are not now discovering new technical issues.
"
Person1,"Frankly, this is about the fact that we are concurrently finishing up development and ramping up production.
"
Person1,"We've got the first 7 production aircraft flowing through our Everett factory now.
"
Person1,"In our supply chain, we're already out to airplane number 15.
"
Person1,"So you can see there's some concurrency cost.
"
Person1,"That is an intentional investment we're making to keep the program on schedule.
"
Person1,"We are closing in on it.
"
Person1,"We're not done yet.
"
Person1,"We're going to be very focused on getting to the finish line, but I'm confident we'll get there and also confident that this is going to be a great program for our customers and our Company for decades to come.
"
Person1,"<UNK>, you want to provide any other color on --.
"
Person2,"Yes.
"
Person2,"I think you hit the high points, <UNK>.
"
Person2,"Yes, certainly, <UNK>, for the balance of the year, it just got more challenging and we've got a path forward to meet the guide, even taking that into consideration, but we're accelerating our productivity efforts and focus in the area to ensure that we do and we're all committed to doing that.
"
Person2,"So we'll keep marching ahead, quarter by quarter, to make sure we achieve what we put out there.
"
Person1,"Thanks, <UNK>.
"
Person1,"Operator, we have time for one more question.
"
Person2,"I think on the R&D, <UNK>, that's about right.
"
Person2,"There's obviously some moving pieces in there as 777X starts to ramp up and Dash10 profile turns down around with MAX.
"
Person2,"Generally, quarter by quarter, you're going to look at a similar trend right now.
"
Person1,"And, <UNK>, on your question about the 737 family, we continue to have a very good dialogue with our customers about their future needs.
"
Person1,"As you know, the MAX-8 is now through the production system, we've got three aircraft in flight tests.
"
Person1,"That airplane is looking very good and we're confident that's going to add a lot of value for our customers.
"
Person1,"We're continuing to see strong sales of the MAX family overall, as we take a look at the MAX-7, sort of the lower seat end of that family of aircraft, that is an area where we're having active discussion with our customers.
"
Person1,"You know, it's too early to give any specific details or decisions, but I think it's worth saying that that airplane is viewed very favorably by our customers; we have a very clear value proposition that will add value and operating-cost reduction for them.
"
Person1,"And we also have the flexibility to design it to meet their needs.
"
Person1,"So we'll continue those discussions, and as we reach decision points, we'll make sure to make everybody aware, but we remain very confident on the MAX introduction, the transition and the value it will add to our customers.
"
Person3,"Thank you.
"
Person3,"We will continue with the questions for <UNK> and <UNK>.
"
