Person,Sentence
Person0,"Thank you, <UNK>.
"
Person3,"Dan, this is <UNK> <UNK>.
"
Person3,"Biofuels is absolutely something we're still interested in.
"
Person3,"In fact, we're hoping to do yet another demonstration flight later this year with a new type of biofuels.
"
Person3,"As you pointed out, we were the first airline in the country to fly a series of biofuels flights when we did so a couple years ago.
"
Person3,"Notwithstanding the lower fuel prices today, we do believe that this is an important part of our fuel supply going forward, both for fuel efficiency, fuel cost reasons, but also just for really positive environmental reasons.
"
Person3,"And the fact that the airline industry is going to have some sort of standard that they're going to have to adhere to coming down from [IKO] in the years ahead.
"
Person3,"And we think biofuels is going to have to be a part of that solution.
"
Person3,"Our intent is to absolutely continue to be a leader in this area.
"
Person3,"A challenge is the lack of production facilities for biofuels, and that's starting to be addressed a little bit around the country.
"
Person3,"But we're tracking that very closely and working with our good partners at Boeing and elsewhere to make certain we are in a position that we can optimize that when more fuel supply comes online.
"
Person0,"Thank you.
"
Person1,"<UNK>, good morning, it's <UNK>.
"
Person1,"Thinking into the future, we've said a couple of times tonight or this morning that our bias is to continue to work toward driving costs down to make us look more like a low-cost carrier and expand the gap that we have over the legacy carriers.
"
Person1,"In terms of risks, you never know.
"
Person1,"One thing we do have is nice visibility to our labor costs over the next few years.
"
Person1,"I think we've talked about the increase in fuel -- or the increase in our fuel competitiveness, as we think about fuel CASM coming down.
"
Person1,"Other than that, it just -- it's all about investments that we have and that we choose to make.
"
Person1,"Who knows what's going to happen to pensions; that's always one that seems to come out and bite us some how.
"
Person1,"I don't know.
"
Person1,"It's a good question.
"
Person1,"I don't have anything specific to offer in terms of risk.
"
Person1,"I think we do have pretty good visibility over the next couple of years.
"
Person0,"Thank you.
"
Person0,"Okay, everybody.
"
Person0,"I think we are at the end of the hour and I'm guessing that there's another call starting now.
"
Person0,"Thank you for tuning in, and we look forward to speaking with you next quarter.
"
