Person,Sentence
Person0,"Thanks, <UNK>, and good morning, everyone.
"
Person0,"To begin, our full-year 2015 economic earnings results totaled $99 million as compared with $104 million in 2014.
"
Person0,"Economic earnings per share for 2015 were $1.44 as compared with $1.57 for the prior year.
"
Person0,"For the fourth quarter of 2015, economic earnings totaled $43.2 million as compared with $31.2 million in the prior year period.
"
Person0,"Economic EPS for the fourth quarter of 2015 was $0.62 compared with $0.47 for the same period in 2014.
"
Person0,"The major driver of the year-over-year decline was a write-down of our investment in the energy facility at the former Revel Casino property in 2015 and related costs we incurred.
"
Person0,"This nonrecurring event reduced economic earnings on a comparative basis year-over-year by $15.7 million.
"
Person0,"Of that total, $11.1 million was attributable to the write-off of our equity investment in the project and a reduction in operating income compared to the prior-year period.
"
Person0,"In the fourth quarter of 2015, we also took an additional charge after-tax of $4.6 million resulting from a payment to a former bondholders to settle all claims associated with the project.
"
Person0,"We are currently pursuing recovery of that payment from our financial and legal advisors as well as our insurance carriers.
"
Person0,"We will recognize that recovery in the future period in which it occurs.
"
Person0,"We also restructured our energy project business at the beginning of 2015 disturbing the assets held within Energenic, our energy project development joint veture among the partners.
"
Person0,"Later in the call we will provide more detail around this transaction which resulted in a one-time after-tax charge of $1.7 million.
"
Person0,"The charge was entirely due to recapture investment tax credits associated with several of the projects we divested.
"
Person0,"Excluding these nonrecurring items, SJI's economic earnings and economic earnings per share for 2015 would have improved by $17.4 million and $0.25 per share respectively.
"
Person0,"With that said, we did see some very strong operating performance within our business lines that reinforces our potential for significant earnings growth over the next five years.
"
Person0,"I will detail that information now as we review the performance of each of our business lines.
"
Person0,"Looking at the Utility, South Jersey Gas's earnings for the year remained stable at $66.6 million as compared with $66.5 million in 2014.
"
Person0,"Fourth-quarter Utility net income was $22.2 million as compared to $24 million for the same period in 2014.
"
Person0,"Earnings growth attributable to significant infrastructure investment and strong customer growth was offset by higher charges related to uncollectible accounts and post-retirement benefits as well as investments made to improve customer service.
"
Person0,"As we discussed on the last call, the extreme cold experienced in the past few winters produced significantly higher customer bills.
"
Person0,"Also during 2015, we revised upwards our reserve percentages for aged receivables based upon recent experience.
"
Person0,"These events resulted in increased receivables, increased aging of those receivables and ultimately increased reserves and write-offs for those receivables.
"
Person0,"The after-tax charges for uncollectible receivables totaled $8.8 million for the full year of 2015 and $3.8 million for the fourth quarter.
"
Person0,"This compares to after-tax charges of $5.6 million and $3.4 million for the same periods in 2014.
"
Person0,"We continue to educate customers on ways to reduce usage, access programs for assistance and take advantage of the various bill repayment options we offer.
"
Person0,"As I mentioned earlier, customer growth and infrastructure investments remain key drivers of current performance and will continue to benefit utility earnings in the future.
"
Person0,"During 2015, we added more than 6200 customers bringing our current customer count to 373,100.
"
Person0,"During the same time period, customer growth added $2.2 million in incremental net margin as compared with the prior year period.
"
Person0,"High for our industry, this 1.7% customer growth rate is supported by low natural gas prices from abundant local supplies, aggressive marketing efforts targeting conversions and a noteworthy increase in new construction which accounted for 2900 customers in 2015.
"
Person0,"That was up a little over 19% from 2014 results.
"
Person0,"Regarding investments in our gas system, we closed out 2015 with accelerated infrastructure investments totaling $70 million.
"
Person0,"The AIRP, which replaces aging bare steel and cast iron gas mains throughout our systems and the SHARP, which replaces low-pressure gas mains along the barrier islands with high-pressure mains helped to reinforce and better protect our system.
"
Person0,"These investments added an incremental $2.3 million of net income for the full year.
"
Person0,"Another major initiative underway is a proposed pipeline to provide natural gas to the former BL England electric generating station.
"
